segment,human_ref,Model H_std_wer,Model H_lat_wer,Model i_std_wer,Model i_lat_wer,Model k_std_wer,Model k_lat_wer,Model l_std_wer,Model l_lat_wer,Model m_std_wer,Model m_lat_wer,Model n_std_wer,Model n_lat_wer
1,वही अपना खेती बाड़ी और क्या,0.0,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0
2,मौनता का अर्थ क्या होता है,0.0,0.0,0.0,0.0,1.0,0.8333,0.3333,0.1667,1.0,0.8333,0.3333,0.3333
3,और रक्षाबंधन पे चलो बहनों को,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333
4,एक सिंपल और सादा वे में,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0
5,आने वाली चुनौतियों  का इंतजार करना,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,अचानक आई मुश्किलों का सामना करना,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.6667,0.1667,0.1667
7,सर आपकी इच्छा जय सियाराम,0.4,0.4,0.0,0.0,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4
8,जी फीडबैक मिलने  पर सुधार करना,0.0,0.0,0.0,0.0,0.1667,0.1667,0.3333,0.3333,0.0,0.0,0.1667,0.1667
9,जो एक महत्वपूर्ण भूमिका निभाते हैं,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0
10,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,हम्म बहुत प्योर हार्ट रहता है सबका,0.1429,0.1429,0.0,0.0,0.4286,0.4286,0.2857,0.2857,0.2857,0.2857,0.1429,0.1429
12,पूजा और प्रार्थना में  शामिल होना,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0
13,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,0.0,0.0,0.0,0.0,0.0,0.0,0.1163,0.093,0.1163,0.093,0.0233,0.0233
14,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,0.093,0.0698,0.0,0.0,0.0465,0.0,0.1163,0.093,0.1628,0.093,0.1395,0.1163
15,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,0.0,0.0,0.0,0.0,0.027,0.0,0.0541,0.027,0.1081,0.0541,0.0541,0.027
16,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,0.0455,0.0455,0.0,0.0,0.0455,0.0455,0.1364,0.0455,0.1818,0.1364,0.0909,0.0455
17,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,0.0222,0.0222,0.0,0.0,0.0889,0.0444,0.1333,0.0889,0.1111,0.0444,0.0889,0.0444
18,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फेस को जो चेहरा होता है ना गणेश जी का वो ढक कर और फिर उनको लेकर आते हैं बैंड बाजे के साथ में लेकर आते हैं,0.0,0.0,0.0,0.0,0.0889,0.0889,0.0,0.0,0.1556,0.1111,0.0889,0.0667
19,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,0.0833,0.1538,0.0,0.0769,0.1667,0.2308,0.1667,0.1538,0.1667,0.1538,0.0,0.0769
